categories,fraction,num_cutoff,enrichment,log10_P
Shift,0.700,12,13.560678033901695,-13.798358239539084
Shift,0.600,12,15.820791039551976,-14.667089841175766
Shift,0.500,12,18.984949247462374,-15.644676900240484
Shift,0.400,12,23.73118655932797,-16.90579913120655
Shift,0.300,11,29.004783572511958,-16.28369935188175
Shift,0.200,10,39.551977598879944,-15.940354382554915
Shift,0.100,5,39.551977598879944,-6.758667992773326
Shift,0.090,5,43.946641776533276,-6.983433687467937
Shift,0.080,4,39.551977598879944,-5.316286469543911
Shift,0.070,4,45.20226011300565,-5.543046261080917
Shift,0.060,4,52.735970131839935,-5.812433669601262
Shift,0.050,3,47.46237311865594,-4.215379715447
Shift,0.040,3,59.32796639831992,-4.500191212600555
Shift,0.030,2,52.735970131839935,-2.9541120191132677
Shift,0.020,2,79.10395519775989,-3.2991549886070146
Shift,0.010,1,79.10395519775989,-1.744337793236305
PNG,1.000,178,1.0299219245183786,-5.7191491004396084
PNG,0.900,167,1.0736389600160376,-4.203514902994357
PNG,0.800,159,1.1499830477417288,-2.671899733799364
PNG,0.700,155,1.2812030361183682,-1.5628739337389561
PNG,0.600,131,1.2632937463661758,-1.5716206281094856
PNG,0.500,120,1.3886587746315215,-1.410655087075611
PNG,0.400,110,1.5911715125986186,-2.10426806538635
PNG,0.300,98,1.890118887692904,-3.878986015396549
PNG,0.200,74,2.140848944223596,-4.66656350714652
PNG,0.100,47,2.7194567669867302,-5.716268901772764
PNG,0.090,45,2.8930391138156697,-6.19871266343921
PNG,0.080,40,2.8930391138156697,-5.617716841456513
PNG,0.070,38,3.1410138949998703,-6.20291977212969
PNG,0.060,33,3.182343025197237,-5.632641698638054
PNG,0.050,29,3.3559253720261775,-5.5127567428801285
PNG,0.040,23,3.3269949808880206,-4.460588133724286
PNG,0.030,17,3.2787776623244262,-3.4447977308734608
PNG,0.020,10,2.8930391138156697,-1.9594888852134318
PNG,0.010,7,4.050254759341938,-2.2655456318268534
